,“PYB” Poly-V “J”,,,,,,,,,
K,170,4,8,2012,32,11.5,110,154,-,20.5
K,,6,8,2517,45,16.5,120,150,-,28.5
K,,8,8,2517,45,9,120,150,-,36.0
K,,10,7,2517,45,3,120,150,-,42.0
K,,12,2,2517,45,4,-,150,-,49.0
K,180,4,6,2012,32,5.75,110,164,-,20.5
K,,6,6,2517,45,8.25,120,160,-,28.5
K,,8,6,2517,45,4.5,120,160,-,36.0
K,,10,6,2517,45,1.5,120,160,-,42.0
K,,12,5,2517,45,2,120,160,-,49.0
K,190,4,6,2012,32,5.75,110,174,-,20.5
K,,6,6,2517,45,8.25,120,170,-,28.5
K,,8,6,2517,45,4.5,120,170,-,36.0
K,,10,6,2517,45,1.5,120,170,-,42.0
K,,12,5,2517,45,2,120,170,-,49.0
K,200,4,6,2012,32,5.75,110,184,-,20.5
K,,6,6,2517,45,8.25,120,180,-,28.5
K,,8,6,2517,45,4.5,120,180,-,36.0
K,,10,6,2517,45,1.5,120,180,-,42.0
K,,12,5,2517,45,2,120,180,-,49.0
K,,,,,,,,,,
K,» “PYB” Poly-V “K”,,,,,,,,,
K,,,,,,,,,,
K,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
K,212,4,6,2012,32,5.75,110,196,-,20.5
K,,6,6,2517,45,8.25,120,192,-,28.5
K,,8,6,2517,45,4.5,120,192,-,36.0
K,,10,6,2517,45,1.5,120,192,-,42.0
K,,12,5,2517,45,2,120,192,-,49.0
K,224,4,6,2012,32,5.75,110,208,-,20.5
K,,6,6,2517,45,8.25,120,204,-,28.5
K,,8,6,2517,45,4.5,120,204,-,36.0
K,,10,6,2517,45,1.5,120,204,-,42.0
K,,12,5,2517,45,2,120,204,-,49.0
K,236,4,6,2012,32,5.75,110,220,-,20.5
K,,6,6,2517,45,8.25,120,216,-,28.5
K,,8,6,2517,45,4.5,120,216,-,36.0
K,,10,6,2517,45,1.5,120,216,-,42.0
K,,12,5,2517,45,2,120,216,-,49.0
K,250,4,9,2012,32,5.75,110,234,-,20.5
K,,6,6,2517,45,8.25,120,230,-,28.5
K,,8,6,2517,45,4.5,120,230,-,36.0
K,,10,6,2517,45,1.5,120,230,-,42.0
K,,12,5,2517,45,2,120,230,-,49.0
K,280,4,9,2012,32,5.75,110,264,-,20.5
K,,6,9,2517,45,8.25,120,260,-,28.5
K,,8,9,2517,45,4.5,120,260,-,36.0
K,,10,9,3020,52,5,146,256,-,42.0
K,,12,9,3020,52,1.5,146,256,-,49.0
K,315,4,9,2012,32,5.75,110,299,-,20.5
K,,6,9,2517,45,8.25,120,295,-,28.5
K,,8,9,2517,45,4.5,120,295,-,36.0
K,,10,9,3020,52,5,146,285,-,42.0
K,,12,9,3020,52,1.5,146,285,-,49.0
K,355,4,9,2517,45,12.25,120,339,-,20.5
K,,6,9,2517,45,8.25,120,339,-,28.5
K,,8,9,3020,52,8,146,335,-,36.0
K,,10,9,3020,52,5,146,335,-,42.0
K,,12,9,3020,52,1.5,146,335,-,49.0
K,400,4,9,2517,45,2.25,120,380,-,20.5
K,,6,9,2517,45,8.25,120,380,-,28.5
K,,8,9,3020,52,8,146,370,-,36.0
K,,10,9,3020,52,5,146,370,-,42.0
K,,12,9,3020,52,1.5,146,370,-,49.0
K,450,4,9,2517,45,12.25,120,420,-,20.5
K,,6,9,2517,45,8.25,120,420,-,28.5
K,,8,9,3020,52,8,146,420,-,36.0
K,,10,9,3020,52,5,146,420,-,42.0
K,,12,9,3020,52,1.5,146,420,-,49.0
K,500,4,9,2517,45,12.25,120,470,-,20.5
K,,6,9,2517,45,8.25,120,470,-,28.5
K,,8,9,3020,52,8,146,470,-,36.0
K,,10,9,3020,52,5,146,470,-,42.0
K,,12,9,3020,52,1.5,146,470,-,49.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,“PYB” Poly-V “L”,,,,,,,,,
,,,,,,,,,,
Section,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
L,75,6,2,1210,26,12.5,-,56,-,38.5
L,,8,2,1210,26,22,-,56,-,48.0
L,,10,2,1215,42,15,-,56,-,57.0
L,,,,,,,-,,-,
L,,12,2,1215,42,25,-,56,-,67.0
L,,,,,,,-,,-,
L,80,6,2,1210,26,12.5,-,56,-,38.5
L,,,,,,,-,,-,
L,,8,2,1210,26,22,-,56,-,48.0
L,,,,,,,-,,-,
L,,10,2,1215,42,15,-,56,-,57.0
L,,12,2,1215,42,25,-,56,-,67.0
L,,,,,,,-,,-,
L,85,6,2,1210,26,12.5,-,61,-,38.5
L,,,,,,,-,,-,
L,,8,2,1210,26,22,-,61,-,48.0
L,,,,,,,-,,-,
L,,,,,,,-,,-,
L,,10,2,1215,42,15,-,61,-,57.0
L,,,,,,,-,,-,
L,,12,2,1215,42,25,-,61,-,67.0
L,,,,,,,-,,-,
L,,16,4,1215,42,22,-,61,-,86.0
L,90,6,2,1210,26,12.5,-,66,-,38.5
L,,8,2,1210,26,22,-,66,-,48.0
L,,10,2,1215,42,15,-,66,-,57.0
L,,12,2,1215,42,25,-,66,-,67.0
L,,16,4,1215,42,22,-,66,-,86.0
L,95,6,2,1210,26,12.5,-,71,-,38.5
L,,8,2,1210,26,22,-,71,-,48.0
L,,,,,,,-,,-,
L,,10,2,1215,42,15,-,71,-,57.0
L,,12,2,1215,42,25,-,71,-,67.0
L,,16,4,1215,42,22,-,71,-,86.0
L,100,6,2,1610,26,12.5,-,76,-,38.5
L,,,,,,,-,,-,
L,,8,2,1610,26,22,-,76,-,48.0
L,,,,,,,-,,-,
L,,10,2,2012,32,25,-,79,-,57.0
L,,,,,,,-,,-,
L,,12,2,2012,32,35,-,79,-,67.0
L,,16,4,2012,32,27,-,79,-,86.0
L,106,6,2,1610,26,12.5,-,82,-,38.5
L,,8,2,1610,26,22,-,82,-,48.0
L,,10,2,2012,32,25,-,82,-,57.0
L,,12,2,2012,32,35,-,82,-,67.0
L,,16,4,2012,32,27,-,82,-,86.0
L,112,6,2,1610,26,12.5,-,88,-,38.5
L,,8,2,1610,26,22,-,88,-,48.0
L,,10,2,2012,32,25,-,88,-,57.0
L,,12,2,2012,32,35,-,88,-,67.0
L,,16,4,2012,32,27,-,88,-,86.0
L,118,6,2,2012,32,6.5,-,94,-,38.5
L,,8,2,2012,32,16,-,94,-,48.0
L,,10,4,2517,45,6,-,97,-,57.0
L,,12,4,2517,45,11,-,97,-,67.0
L,,16,4,2517,45,20.5,-,97,-,86.0
L,,20,4,2517,45,30,-,97,-,105.0
L,125,6,2,2012,32,6.5,-,101,-,38.5
L,,8,2,2012,32,16,-,101,-,48.0
L,,10,4,2517,45,6,-,101,-,57.0
L,,12,4,2517,45,11,-,101,-,67.0
L,,16,4,2517,45,20.5,-,101,-,86.0
L,,20,4,2517,45,30,-,101,-,105.0
L,132,6,2,2012,32,6.5,-,108,-,38.5
L,,8,2,2012,32,16,-,108,-,48.0
L,,10,4,2517,45,6,-,108,-,57.0
L,,12,4,2517,45,11,-,108,-,67.0
L,,16,4,2517,45,20.5,-,108,-,86.0
L,,20,4,2517,45,30,-,108,-,105.0
L,,,,,,,,,,
L,» “PYB” Poly-V “L”,,,,,,,,,
L,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
L,140,6,7,2517,45,6.5,120,-,-,38.5
L,,8,2,2517,45,3,-,116,-,48.0
L,,10,4,2517,45,6,-,116,-,57.0
L,,12,4,2517,45,11,-,116,-,67.0
L,,16,4,2517,45,20.5,-,116,-,86.0
L,,20,4,3020,52,26.5,-,116,-,105.0
L,150,6,7,2517,45,6.5,120,-,-,38.5
L,,8,2,2517,45,3,-,126,-,48.0
L,,10,4,2517,45,6,-,126,-,57.0
L,,12,4,2517,45,11,-,126,-,67.0
L,,16,4,2517,45,20.5,-,126,-,86.0
L,,20,4,3020,52,26.5,-,126,-,105.0
L,160,6,7,2517,45,6.5,120,-,-,38.5
L,,8,2,2517,45,3,-,136,-,48.0
L,,10,4,2517,45,6,-,136,-,57.0
L,,12,4,2517,45,11,-,136,-,67.0
L,,16,4,3020,52,17,-,136,-,86.0
L,,20,4,3020,52,26.5,-,136,-,105.0
L,170,6,8,2517,45,6.5,120,146,-,38.5
L,,8,2,2517,45,3,-,146,-,48.0
L,,10,4,2517,45,6,-,146,-,57.0
L,,12,4,2517,45,11,-,146,-,67.0
L,,16,4,3020,52,17,-,146,-,86.0
L,,20,4,3020,52,26.5,-,146,-,105.0
L,180,6,6,2517,45,3.25,120,156,-,38.5
L,,8,5,2517,45,1.5,120,156,-,48.0
L,,10,5,2517,45,6,120,156,-,57.0
L,,12,5,2517,45,11,120,156,-,67.0
L,,16,4,3020,52,17,-,156,-,86.0
L,,20,4,3020,52,26.5,-,156,-,105.0
L,190,6,6,2517,45,3.25,120,166,-,38.5
L,,8,5,2517,45,1.5,120,166,-,48.0
L,,10,5,2517,45,6,120,166,-,57.0
L,,12,5,2517,45,11,120,166,-,67.0
L,,16,4,3020,52,17,146,166,-,86.0
L,,20,4,3020,52,26.5,146,166,-,105.0
L,200,6,6,2517,45,3.25,120,176,-,38.5
L,,8,5,2517,45,1.5,120,176,-,48.0
L,,10,4,3020,52,2.5,146,176,-,57.0
L,,12,4,3020,52,7.5,146,176,-,67.0
L,,16,4,3020,52,17,146,176,-,86.0
L,,20,4,3535,89,8,-,176,-,105.0
L,212,6,6,2517,45,3.25,120,188,-,38.5
L,,8,5,2517,45,1.5,120,188,-,48.0
L,,10,4,3020,52,2.5,146,188,-,57.0
L,,12,4,3020,52,7.5,146,188,-,67.0
L,,16,4,3020,52,17,146,188,-,86.0
L,,20,4,3535,89,8,-,188,-,105.0
L,224,6,6,2517,45,3.25,120,202,-,38.5
L,,8,5,2517,45,1.5,120,202,-,48.0
L,,10,5,3020,52,2.5,146,202,-,57.0
L,,12,5,3020,52,7.5,146,202,-,67.0
L,,16,5,3020,52,17,146,202,-,86.0
L,,20,5,3535,89,8,178,202,-,105.0
L,236,6,6,2517,45,3.25,120,214,-,38.5
L,,8,5,2517,45,1.5,120,214,-,48.0
L,,10,5,3020,52,2.5,146,214,-,57.0
L,,12,5,3020,52,7.5,146,214,-,67.0
L,,16,5,3020,52,17,146,214,-,86.0
L,,20,5,3535,89,8,178,214,-,105.0
L,,,,,,,,,,
L,» “PYB” Poly-V “L”,,,,,,,,,
L,,,,,,,,,,
L,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
L,250,6,9,2517,45,3.25,120,228,-,38.5
L,,8,5,2517,45,1.5,120,228,-,48.0
L,,10,5,3020,52,2.5,146,228,-,57.0
L,,12,5,3020,52,7.5,146,228,-,67.0
L,,16,5,3020,52,17,146,228,-,86.0
L,,20,5,3535,89,8,178,226,-,105.0
L,280,6,9,2517,45,3.25,120,256,-,38.5
L,,8,6,3020,52,2,146,256,-,48.0
L,,10,5,3020,52,2.5,146,256,-,57.0
L,,12,5,3020,52,7.5,146,256,-,67.0
L,,16,6,3535,89,1.5,178,256,-,86.0
L,,20,5,3535,89,8,178,256,-,105.0
L,315,6,9,2517,45,3.25,120,285,-,38.5
L,,8,9,3020,52,2,146,285,-,48.0
L,,10,6,3535,89,16,178,285,-,57.0
L,,12,6,3535,89,11,178,285,-,67.0
L,,16,6,3535,89,1.5,178,285,-,86.0
L,,20,5,4040,102,1.5,215,285,-,105.0
L,355,6,9,3020,52,6.75,146,325,-,38.5
L,,8,9,3020,52,2,146,325,-,48.0
L,,10,9,3535,89,16,178,325,-,57.0
L,,12,9,3535,89,11,178,325,-,67.0
L,,16,9,3535,89,1.5,178,325,-,86.0
L,,20,5,4040,102,1.5,215,325,-,105.0
L,400,6,9,3020,52,6.75,146,370,-,38.5
L,,8,9,3020,52,2,146,370,-,48.0
L,,,,,,,,,-,
L,,10,9,3535,89,16,178,370,-,57.0
L,,12,9,3535,89,11,178,370,-,67.0
L,,16,9,3535,89,1.5,178,370,-,86.0
L,,20,10,4040,102,1.5,215,370,-,105.0
L,450,6,9,3020,52,6.75,146,420,-,38.5
L,,8,9,3020,52,2,146,420,-,48.0
L,,10,9,3535,89,16,178,420,-,57.0
L,,12,9,3535,89,11,178,420,-,67.0
L,,16,9,3535,89,1.5,178,420,-,86.0
L,,20,10,4040,102,1.5,215,420,-,105.0
L,500,6,9,3020,52,6.75,146,470,-,38.5
L,,8,9,3020,52,2,146,470,-,48.0
L,,10,9,3535,89,16,178,470,-,57.0
L,,12,9,3535,89,11,178,470,-,67.0
L,,16,9,3535,89,1.5,178,470,-,86.0
L,,20,9,5050,127,11,267,470,-,105.0
L,630,6,9,3020,52,6.75,146,600,-,38.5
L,,8,9,3020,52,2,146,600,-,48.0
L,,10,9,3535,89,16,178,600,-,57.0
L,,12,9,3535,89,11,178,600,-,67.0
L,,16,9,4040,102,8,215,600,-,86.0
L,,20,9,5050,127,11,267,600,-,105.0
L,800,6,9,3535,89,25.2,178,770,-,38.5
L,,8,9,3535,89,20.5,178,770,-,48.0
L,,10,9,4040,102,22.5,215,770,-,57.0
L,,12,9,4040,102,17.5,215,770,-,67.0
L,,16,9,5050,127,20.5,267,770,-,86.0
L,,20,9,5050,127,11,267,770,-,105.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
